parcellation,seed,pc,explained_var_ratio,FC_to_PC_R2,AUC_MZ,AUC_DZ,AUC_sibling,confound_R2_test
4S456Parcels,2,2,0.020071087405085564,0.0069054365158081055,0.7521802325581395,0.676812585499316,0.5469110598260252,0.44247788190841675
4S456Parcels,2,3,0.01456374116241932,-0.022816181182861328,0.6417151162790699,0.5277017783857729,0.5797532398366767,-0.04578280448913574
4S456Parcels,2,4,0.013975716196000576,0.2937864065170288,0.657703488372093,0.5341997264021888,0.6035416296822297,-0.033378005027770996
4S456Parcels,2,5,0.01222899742424488,0.038522303104400635,0.7473352713178294,0.6508207934336525,0.5479318302858158,0.031659841537475586
4S456Parcels,2,6,0.011301979422569275,0.08882641792297363,0.6392926356589147,0.622093023255814,0.5558317060181076,0.2113524079322815
4S456Parcels,2,7,0.009996813721954823,0.03512305021286011,0.6787790697674418,0.6049931600547196,0.5714539321853365,0.0486186146736145
4S456Parcels,2,8,0.009672028943896294,0.10409623384475708,0.6589147286821705,0.5598495212038304,0.5431386472572342,0.11626708507537842
4S456Parcels,2,9,0.008663438260555267,0.21759694814682007,0.7592054263565892,0.7209302325581395,0.5699449671578201,0.047114014625549316
4S456Parcels,2,10,0.008505912497639656,0.09342777729034424,0.627906976744186,0.5564295485636115,0.5960411858689864,-0.024312615394592285
4S456Parcels,3,1,0.0389937199652195,0.6090297698974609,0.8012422360248447,0.6123188405797102,0.4484472049689441,0.9241882562637329
4S456Parcels,3,2,0.019018029794096947,0.04395347833633423,0.7409420289855072,0.5181159420289856,0.5655652173913044,0.41992855072021484
4S456Parcels,3,3,0.014294816181063652,0.03760099411010742,0.6097308488612836,0.4870600414078675,0.5486708074534161,-0.0430067777633667
4S456Parcels,3,4,0.013365778140723705,0.1462119221687317,0.7114389233954451,0.5854037267080745,0.6078509316770186,0.20115941762924194
4S456Parcels,3,5,0.012281705625355244,0.12880218029022217,0.6521739130434783,0.703416149068323,0.5506583850931677,0.10080689191818237
4S456Parcels,3,6,0.011247924529016018,0.03901761770248413,0.552536231884058,0.6112836438923395,0.5400248447204969,0.3073268532752991
4S456Parcels,3,7,0.010404367931187153,0.14756423234939575,0.6275879917184264,0.5295031055900621,0.507080745341615,0.15127527713775635
4S456Parcels,3,8,0.009311623871326447,0.1081322431564331,0.628623188405797,0.5559006211180124,0.55527950310559,0.050303101539611816
4S456Parcels,3,9,0.008845565840601921,0.06999713182449341,0.7644927536231885,0.650103519668737,0.5338136645962732,0.02243638038635254
4S456Parcels,3,10,0.008541022427380085,0.12213194370269775,0.7523291925465838,0.5372670807453416,0.6049689440993788,-0.0030133724212646484
4S456Parcels,4,1,0.03898320719599724,0.5467036962509155,0.7940939597315436,0.6395014381591563,0.4256253813300793,0.9309820532798767
4S456Parcels,4,2,0.019473377615213394,0.012759029865264893,0.5833557046979866,0.3609779482262704,0.5118974984746797,0.39787089824676514
